er,time
"1,152.17",2016-03-29
"1,159.79",2016-03-28
,2016-03-27
,2016-03-26
"1,154.25",2016-03-25
"1,156.42",2016-03-24
"1,145.53",2016-03-23
"1,152.07",2016-03-22
"1,155.24",2016-03-21
,2016-03-20
,2016-03-19
"1,149.69",2016-03-18
"1,164.84",2016-03-17
"1,180.48",2016-03-16
"1,178.80",2016-03-15
"1,177.91",2016-03-14
,2016-03-13
,2016-03-12
"1,196.62",2016-03-11
"1,199.19",2016-03-10
"1,200.97",2016-03-09
"1,190.48",2016-03-08
"1,189.19",2016-03-07
,2016-03-06
,2016-03-05
"1,197.41",2016-03-04
"1,209.19",2016-03-03
"1,220.87",2016-03-02
,2016-03-01
"1,231.76",2016-02-29
,2016-02-28
,2016-02-27
"1,222.16",2016-02-26
"1,222.75",2016-02-25
"1,222.16",2016-02-24
"1,214.04",2016-02-23
"1,221.37",2016-02-22
,2016-02-21
,2016-02-20
"1,222.06",2016-02-19
"1,210.87",2016-02-18
"1,211.07",2016-02-17
"1,202.06",2016-02-16
"1,197.90",2016-02-15
,2016-02-14
,2016-02-13
"1,191.47",2016-02-12
"1,179.69",2016-02-11
,2016-02-10
,2016-02-09
,2016-02-08
,2016-02-07
,2016-02-06
"1,178.70",2016-02-05
"1,192.46",2016-02-04
"1,201.67",2016-02-03
"1,191.17",2016-02-02
"1,196.62",2016-02-01
,2016-01-31
,2016-01-30
"1,193.94",2016-01-29
"1,198.20",2016-01-28
"1,188.50",2016-01-27
"1,186.92",2016-01-26
"1,184.34",2016-01-25
,2016-01-24
,2016-01-23
"1,191.67",2016-01-22
"1,195.53",2016-01-21
"1,197.81",2016-01-20
"1,196.72",2016-01-19
"1,203.05",2016-01-18
,2016-01-17
,2016-01-16
"1,195.43",2016-01-15
"1,198.50",2016-01-14
"1,196.52",2016-01-13
"1,193.65",2016-01-12
"1,197.71",2016-01-11
,2016-01-10
,2016-01-09
"1,185.03",2016-01-08
"1,187.91",2016-01-07
"1,176.92",2016-01-06
"1,175.43",2016-01-05
"1,171.77",2016-01-04
,2016-01-03
,2016-01-02
,2016-01-01
"1,158.30",2015-12-31
"1,158.30",2015-12-30
"1,155.63",2015-12-29
"1,155.53",2015-12-28
,2015-12-27
,2015-12-26
,2015-12-25
"1,162.66",2015-12-24
"1,158.80",2015-12-23
"1,165.23",2015-12-22
"1,165.83",2015-12-21
,2015-12-20
,2015-12-19
"1,173.85",2015-12-18
"1,163.95",2015-12-17
"1,165.63",2015-12-16
"1,170.78",2015-12-15
"1,174.64",2015-12-14
,2015-12-13
,2015-12-12
"1,166.42",2015-12-11
"1,165.73",2015-12-10
"1,167.02",2015-12-09
"1,162.96",2015-12-08
"1,155.14",2015-12-07
,2015-12-06
,2015-12-05
"1,144.54",2015-12-04
"1,155.63",2015-12-03
"1,143.75",2015-12-02
"1,149.59",2015-12-01
"1,146.82",2015-11-30
,2015-11-29
,2015-11-28
"1,138.80",2015-11-27
"1,130.78",2015-11-26
"1,134.54",2015-11-25
"1,146.82",2015-11-24
"1,144.84",2015-11-23
,2015-11-22
,2015-11-21
"1,147.12",2015-11-20
"1,154.74",2015-11-19
"1,161.27",2015-11-18
